Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Cases_28_Days,Deaths_28_Days
Czechia,2022-01-11 08:21:10,49.8175,15.473,2538298,36683,,,23702.514393991885,,,1.4451809834779052,203,CZE,192515,2073
Denmark,2022-01-11 08:21:10,56.2639,9.5018,997079,3411,,,17081.422247226543,,,0.3420992719734344,208,DNK,428602,375
Diamond Princess,2022-01-11 08:21:10,,,712,13,,,,,,1.8258426966292132,9999,,0,0
Djibouti,2022-01-11 08:21:10,11.8251,42.5903,14317,189,,,1449.0861354531671,,,1.3201089613745896,262,DJI,803,0
Dominica,2022-01-11 08:21:10,15.415,-61.371,7394,47,,,10270.728285480129,,,0.635650527454693,212,DMA,1161,5
Dominican Republic,2022-01-11 08:21:10,18.7357,-70.1627,462382,4255,,,4262.408664383462,,,0.9202347842260296,214,DOM,51970,36
Ecuador,2022-01-11 08:21:10,-1.8312,-78.1834,559950,33699,,,3173.7691760953026,,,6.0182159121350125,218,ECU,26760,141
Egypt,2022-01-11 08:21:10,26.820553000000004,30.802498,393808,21995,,,384.8246420121296,,,5.5852090358753514,818,EGY,24610,935
El Salvador,2022-01-11 08:21:10,13.7942,-88.8965,122628,3827,,,1890.5982099537162,,,3.1208206934794664,222,SLV,1428,30
Equatorial Guinea,2022-01-11 08:21:10,1.6508,10.2679,14871,177,,,1059.9543116996974,,,1.1902360298567682,226,GNQ,1259,2
Eritrea,2022-01-11 08:21:10,15.1794,39.7823,8419,82,,,237.39386148368484,,,0.9739874094310488,232,ERI,763,19
Estonia,2022-01-11 08:21:10,58.5953,25.0136,253775,1956,,,19130.609804913387,,,0.7707615013299183,233,EST,25179,91
Eswatini,2022-01-11 08:21:10,-26.5225,31.4659,67373,1341,,,5807.196223982127,,,1.990411589212296,748,SWZ,13864,89
Ethiopia,2022-01-11 08:21:10,9.145,40.4897,446268,7042,,,388.1820558776426,,,1.5779755662516697,231,ETH,73028,209
Fiji,2022-01-11 08:21:10,-17.7134,178.065,57849,714,,,6453.163833992978,,,1.234247783021314,242,FJI,5256,17
Finland,2022-01-11 08:21:10,61.9241,25.7482,328847,1656,,,5935.097220251961,,,0.5035776516130602,246,FIN,123490,214
France,2022-01-11 08:21:10,46.2276,2.2137,12312194,126707,,,18869.30823726273,,,1.0291179622413358,250,FRA,3937019,5048
Gabon,2022-01-11 08:21:10,-0.8037,11.6094,44409,295,,,1995.2572821117408,,,0.6642797631110811,266,GAB,6818,13
Gambia,2022-01-11 08:21:10,13.4432,-15.3101,10792,343,,,446.56601000387315,,,3.1782802075611563,270,GMB,758,1
Georgia,2022-01-11 08:21:10,42.3154,43.3569,968313,14264,,,24273.51520051138,,,1.4730774036907488,268,GEO,72014,1441
Germany,2022-01-11 08:21:10,51.165691,10.451526,7605112,114355,,,9145.702801794398,,,1.5036596436712568,276,DEU,988928,7896
Ghana,2022-01-11 08:21:10,7.9465,-1.0232,152243,1332,,,489.953559278015,,,0.874917073362979,288,GHA,20696,89
Greece,2022-01-11 08:21:10,39.0742,21.8243,1535382,21479,,,14730.63178399886,,,1.3989352486872977,300,GRC,528676,2134
Grenada,2022-01-11 08:21:10,12.1165,-61.679,7699,200,,,6842.399950230628,,,2.5977399662293803,308,GRD,1784,0
Guatemala,2022-01-11 08:21:10,15.7835,-90.2308,639048,16126,,,3566.9984656360584,,,2.5234411186640133,320,GTM,16811,78
Guinea,2022-01-11 08:21:10,9.9456,-9.6966,34673,400,,,264.0184965999614,,,1.1536353935338737,324,GIN,3875,12
Guinea-Bissau,2022-01-11 08:21:10,11.8037,-15.1804,6713,149,,,341.1080702317787,,,2.2195739609712497,624,GNB,265,0
Guyana,2022-01-11 08:21:10,4.860416000000002,-58.93018000000001,45340,1070,,,5764.348256138446,,,2.359947066607852,328,GUY,6786,50
Haiti,2022-01-11 08:21:10,18.9712,-72.2852,26807,780,,,235.09688592876685,,,2.9096877681202677,332,HTI,1049,19
