Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Cases_28_Days,Deaths_28_Days
Gilgit-Baltistan,Pakistan,2022-03-11 21:31:03,35.792146,74.982138,11608,191,,,,1145.2430188321835,,,1.6454169538249483,58603,PAK,,,534,2
Islamabad,Pakistan,2022-03-11 21:31:03,33.665087,73.121219,134767,1019,,,,6716.28030292459,,,0.7561198216180519,58604,PAK,,,2056,24
Khyber Pakhtunkhwa,Pakistan,2022-03-11 21:31:03,34.485332,72.09169,217857,6297,,,,713.738335126877,,,2.8904281248709016,58605,PAK,,,10037,210
Punjab,Pakistan,2022-03-11 21:31:03,30.811346,72.13913199999998,503426,13535,,,,457.60824034794166,,,2.688577864472633,58606,PAK,,,9948,213
Sindh,Pakistan,2022-03-11 21:31:03,26.009446,68.77680699999999,571268,8089,,,,1192.9737116973793,,,1.4159728883816352,58607,PAK,,,15348,131
Amazonas,Peru,2022-03-11 21:31:03,-5.077253,-78.050172,43598,1332,,,,10215.089034676665,,,3.0551860177072343,60401,PER,,,1942,25
Ancash,Peru,2022-03-11 21:31:03,-9.407125,-77.67179499999997,124283,7046,,,,10527.10486193461,,,5.669319215017341,60402,PER,,,6054,134
Apurimac,Peru,2022-03-11 21:31:03,-14.027713,-72.975378,38472,1607,,,,8932.435570002322,,,4.177063838635891,60403,PER,,,2893,40
Arequipa,Peru,2022-03-11 21:31:03,-15.843524,-72.475539,210750,10166,,,,14074.395619073059,,,4.823724792408067,60404,PER,,,13793,229
Ayacucho,Peru,2022-03-11 21:31:03,-14.091648,-74.08344,47860,2300,,,,7162.526189763544,,,4.805683242791474,60405,PER,,,1429,64
Cajamarca,Peru,2022-03-11 21:31:03,-6.430284,-78.74559599999998,95346,4405,,,,6558.8498314645385,,,4.620015522413107,60406,PER,,,3502,113
Callao,Peru,2022-03-11 21:31:03,-11.954609,-77.136042,145812,10437,,,,12904.858837065227,,,7.157847090774423,60407,PER,,,3340,130
Cusco,Peru,2022-03-11 21:31:03,-13.191068,-72.153609,116075,5094,,,,8553.164836784319,,,4.388541891018738,60408,PER,,,3578,124
Huancavelica,Peru,2022-03-11 21:31:03,-13.023888,-75.00277,25429,1253,,,,6961.1278401313975,,,4.927445043061073,60409,PER,,,1957,35
Huanuco,Peru,2022-03-11 21:31:03,-9.421676,-76.040642,51696,2851,,,,6799.421281073261,,,5.514933457134013,60410,PER,,,2006,67
Ica,Peru,2022-03-11 21:31:03,-14.235097,-75.574821,102912,8871,,,,10552.912223133715,,,8.619986007462687,60411,PER,,,6358,120
Junin,Peru,2022-03-11 21:31:03,-11.541783,-74.876968,124954,7384,,,,9177.671685640837,,,5.909374649871153,60412,PER,,,4831,130
La Libertad,Peru,2022-03-11 21:31:03,-7.92139,-78.370238,145559,10849,,,,7217.324474414914,,,7.4533350737501625,60413,PER,,,5978,197
Lambayeque,Peru,2022-03-11 21:31:03,-6.353049,-79.824113,104765,9186,,,,7992.447360390601,,,8.768195485133393,60414,PER,,,2902,319
Lima,Peru,2022-03-11 21:31:03,-11.766533,-76.60449799999998,1594692,92474,,,,15003.923413463799,,,5.798862727097144,60415,PER,,,74450,1213
Loreto,Peru,2022-03-11 21:31:03,-4.124847,-74.424115,57696,4365,,,,5614.636045153758,,,7.565515806988352,60416,PER,,,793,48
Madre de Dios,Peru,2022-03-11 21:31:03,-11.972699,-70.53171999999998,17645,835,,,,10152.474108170309,,,4.7322187588552005,60417,PER,,,527,25
Moquegua,Peru,2022-03-11 21:31:03,-16.860271,-70.839046,48089,1604,,,,24955.371043072133,,,3.335482126889725,60418,PER,,,2661,42
Pasco,Peru,2022-03-11 21:31:03,-10.39655,-75.307635,23744,1086,,,,8732.622287605738,,,4.573787061994609,60419,PER,,,1247,19
Piura,Peru,2022-03-11 21:31:03,-5.133361,-80.335861,156821,12974,,,,7657.275390625,,,8.27312668583927,60420,PER,,,7411,380
Puno,Peru,2022-03-11 21:31:03,-14.995826999999998,-69.922726,65013,4668,,,,5251.453957996769,,,7.18010244105025,60421,PER,,,2737,204
San Martin,Peru,2022-03-11 21:31:03,-7.039531,-76.729127,61623,3126,,,,6850.044464206313,,,5.072781266734823,60422,PER,,,1412,49
Tacna,Peru,2022-03-11 21:31:03,-17.644160999999997,-70.27756,53526,2109,,,,14427.493261455525,,,3.940141239771326,60423,PER,,,2349,67
Tumbes,Peru,2022-03-11 21:31:03,-3.857496,-80.54525500000003,26808,1678,,,,10659.244532803179,,,6.259325574455388,60424,PER,,,3945,43
Ucayali,Peru,2022-03-11 21:31:03,-9.621718,-73.444929,39316,3207,,,,6673.909353250721,,,8.156984433818293,60425,PER,,,900,106
Unknown,Peru,2022-03-11 21:31:03,,,8591,457,,,,,,,5.319520428355255,60426,PER,,,-25557,-95
Adygea Republic,Russia,2022-03-11 21:31:03,44.6939006,40.1520421,46414,934,,,,10237.418831168829,,,2.012323867798509,64301,RUS,,,11901,87
Altai Krai,Russia,2022-03-11 21:31:03,52.6932243,82.69314240000001,251755,8213,,,,10712.614038671025,,,3.262298663383051,64302,RUS,,,87113,625
Altai Republic,Russia,2022-03-11 21:31:03,50.7114101,86.8572186,32822,588,,,,15051.613524531902,,,1.7914813235025289,64303,RUS,,,4390,13
Amur Oblast,Russia,2022-03-11 21:31:03,52.8032368,128.437295,98102,728,,,,12286.955301944832,,,0.7420847689139874,64304,RUS,,,33144,29
Arkhangelsk Oblast,Russia,2022-03-11 21:31:03,63.5589686,43.1221646,219913,1596,,,,19039.625013419587,,,0.7257415432466475,64305,RUS,,,51520,25
Astrakhan Oblast,Russia,2022-03-11 21:31:03,47.1878186,47.608851,112606,2879,,,,11066.776476785577,,,2.5567021295490466,64306,RUS,,,16122,151
Bashkortostan Republic,Russia,2022-03-11 21:31:03,54.8573563,57.1439682,256447,5381,,,,6311.309570833312,,,2.09828931514114,64307,RUS,,,102785,494
Belgorod Oblast,Russia,2022-03-11 21:31:03,50.7080119,37.5837615,121189,2078,,,,7819.270702946557,,,1.71467707465199,64308,RUS,,,24175,108
Bryansk Oblast,Russia,2022-03-11 21:31:03,52.8873315,33.41585300000001,151876,3595,,,,12541.55718251799,,,2.3670626037030207,64309,RUS,,,32442,262
Buryatia Republic,Russia,2022-03-11 21:31:03,52.7182426,109.492143,130101,2909,,,,13214.783786062319,,,2.235955142543101,64310,RUS,,,27180,226
Chechen Republic,Russia,2022-03-11 21:31:03,43.39761470000001,45.6985005,42533,1073,,,,2959.886038855072,,,2.5227470434721275,64311,RUS,,,2481,29
Chelyabinsk Oblast,Russia,2022-03-11 21:31:03,54.4223954,61.1865846,303188,7141,,,,8679.784577084232,,,2.3553042996424662,64312,RUS,,,95047,502
Chukotka Autonomous Okrug,Russia,2022-03-11 21:31:03,66.0006475,169.4900869,5229,41,,,,10596.17411039961,,,0.7840887358959648,64313,RUS,,,1654,1
Chuvashia Republic,Russia,2022-03-11 21:31:03,55.4259922,47.0849429,75011,4479,,,,6092.922118693837,,,5.971124235112183,64314,RUS,,,12726,205
Dagestan Republic,Russia,2022-03-11 21:31:03,43.05749160000001,47.1332224,90800,3559,,,,2963.5577053316297,,,3.9196035242290743,64315,RUS,,,10643,182
Ingushetia Republic,Russia,2022-03-11 21:31:03,43.11542075,45.01713552,39703,546,,,,8135.143829539609,,,1.3752109412386972,64316,RUS,,,4900,28
Irkutsk Oblast,Russia,2022-03-11 21:31:03,56.6370122,104.719221,265832,8013,,,,11057.006607201165,,,3.0143097896415783,64317,RUS,,,72304,420
Ivanovo Oblast,Russia,2022-03-11 21:31:03,56.9167446,41.43521370000001,103715,2923,,,,10221.791639645748,,,2.8183001494480067,64318,RUS,,,26363,163
Jewish Autonomous Okrug,Russia,2022-03-11 21:31:03,48.57527615,132.66307460000002,16405,488,,,,10125.668152135,,,2.9747028345016764,64319,RUS,,,3580,23
Kabardino-Balkarian Republic,Russia,2022-03-11 21:31:03,43.4806048,43.5978976,59636,1796,,,,6887.74213816139,,,3.0116037292910325,64320,RUS,,,10432,178
Kaliningrad Oblast,Russia,2022-03-11 21:31:03,54.7293041,21.1489473,156572,1678,,,,15742.223750476323,,,1.0717114171116164,64321,RUS,,,46835,160
Kalmykia Republic,Russia,2022-03-11 21:31:03,46.2313018,45.3275745,48388,822,,,,17569.25054372887,,,1.698768289658593,64322,RUS,,,6369,24
Kaluga Oblast,Russia,2022-03-11 21:31:03,54.4382773,35.5272854,98191,1374,,,,9702.131107369552,,,1.3993135827112464,64323,RUS,,,16197,49
Kamchatka Krai,Russia,2022-03-11 21:31:03,57.1914882,160.03838190000005,38174,603,,,,12097.338991053914,,,1.5796091580656992,64324,RUS,,,8931,40
Karachay-Cherkess Republic,Russia,2022-03-11 21:31:03,43.7368326,41.7267991,44455,977,,,,9533.4598599629,,,2.1977280395905967,64325,RUS,,,6170,31
Karelia Republic,Russia,2022-03-11 21:31:03,62.61940309999999,33.4920267,128722,1420,,,,20678.76443410594,,,1.1031525302590075,64326,RUS,,,21079,63
Kemerovo Oblast,Russia,2022-03-11 21:31:03,54.53357809999999,87.342861,151112,2181,,,,5607.380225516786,,,1.44330033352745,64327,RUS,,,41691,187
Khabarovsk Krai,Russia,2022-03-11 21:31:03,51.6312684,136.121524,186602,1465,,,,14048.160734531755,,,0.7850934073589779,64328,RUS,,,40450,92
Khakassia Republic,Russia,2022-03-11 21:31:03,53.72258845,91.44293627,85332,2285,,,,15875.336968594249,,,2.6777762152533637,64329,RUS,,,16347,129
Khanty-Mansi Autonomous Okrug,Russia,2022-03-11 21:31:03,61.0259025,69.0982628,201144,2448,,,,13127.421694861716,,,1.2170385395537526,64330,RUS,,,47254,231
Kirov Oblast,Russia,2022-03-11 21:31:03,57.9665589,49.4074599,145556,912,,,,11342.868587121018,,,0.626562972326802,64331,RUS,,,43510,64
Komi Republic,Russia,2022-03-11 21:31:03,63.9881421,54.3326073,163953,2984,,,,19497.950344463432,,,1.8200337901715733,64332,RUS,,,43134,166
Kostroma Oblast,Russia,2022-03-11 21:31:03,58.424756,44.2533273,84256,1255,,,,13096.977572731623,,,1.489508165590581,64333,RUS,,,24328,60
Krasnodar Krai,Russia,2022-03-11 21:31:03,45.7684014,39.0261044,238317,10519,,,,4253.063307765615,,,4.413868922485596,64334,RUS,,,68076,346
Krasnoyarsk Krai,Russia,2022-03-11 21:31:03,63.3233807,97.0979974,352046,10207,,,,12238.705620064959,,,2.8993370184578158,64335,RUS,,,121109,576
Kurgan Oblast,Russia,2022-03-11 21:31:03,55.7655302,64.5632681,95206,1269,,,,11259.826595406234,,,1.3328991870260278,64336,RUS,,,31273,193
Kursk Oblast,Russia,2022-03-11 21:31:03,51.6568453,36.4852695,109896,2323,,,,9854.048959996844,,,2.113816699424911,64337,RUS,,,15545,101
Leningrad Oblast,Russia,2022-03-11 21:31:03,60.1853296,32.3925325,176395,3396,,,,9725.07685454313,,,1.9252246378865612,64338,RUS,,,39358,174
Lipetsk Oblast,Russia,2022-03-11 21:31:03,52.6935178,39.1122664,135273,3376,,,,11760.813979469673,,,2.495693893090269,64339,RUS,,,30324,245
Magadan Oblast,Russia,2022-03-11 21:31:03,62.48858785,153.9903764,19138,382,,,,13281.884364741723,,,1.9960288431393038,64340,RUS,,,3079,20
Mari El Republic,Russia,2022-03-11 21:31:03,56.5767504,47.8817512,43809,1069,,,,6420.472115521307,,,2.4401378712136776,64341,RUS,,,6377,75
Mordovia Republic,Russia,2022-03-11 21:31:03,54.4419829,44.4661144,62476,1298,,,,7760.4539311551,,,2.0775977975542608,64342,RUS,,,13565,103
Moscow,Russia,2022-03-11 21:31:03,55.7504461,37.6174943,2718243,42060,,,,21734.69759807485,,,1.5473230318260733,64343,RUS,,,157638,2234
Moscow Oblast,Russia,2022-03-11 21:31:03,55.50431579999999,38.0353929,949506,14448,,,,12654.368661610724,,,1.5216333546075538,64344,RUS,,,84204,710
Murmansk Oblast,Russia,2022-03-11 21:31:03,68.00004179999999,33.9999151,130416,3160,,,,17306.7199959658,,,2.423015580910317,64345,RUS,,,20354,146
Nenets Autonomous Okrug,Russia,2022-03-11 21:31:03,68.27557185,57.1686375,6993,96,,,,15894.265518103508,,,1.3728013728013728,64346,RUS,,,2035,3
Nizhny Novgorod Oblast,Russia,2022-03-11 21:31:03,55.47180329999999,44.0911594,389584,11224,,,,12043.705359792652,,,2.8810218078771204,64347,RUS,,,96336,499
North Ossetia - Alania Republic,Russia,2022-03-11 21:31:03,42.79336110000001,44.6324493,39637,1226,,,,5648.18707117055,,,3.0930696066806265,64348,RUS,,,3846,84
Novgorod Oblast,Russia,2022-03-11 21:31:03,58.2843833,32.5169757,95054,969,,,,15673.167610919476,,,1.0194205399036338,64349,RUS,,,16700,101
Novosibirsk Oblast,Russia,2022-03-11 21:31:03,54.9720169,79.48139240000002,242829,5141,,,,8707.1404726466,,,2.1171276906794487,64350,RUS,,,113290,372
Omsk Oblast,Russia,2022-03-11 21:31:03,56.09352629999999,73.5099936,197078,3978,,,,10054.584478906741,,,2.018490140959417,64351,RUS,,,33445,290
Orel Oblast,Russia,2022-03-11 21:31:03,52.96854329999999,36.0692477,103515,1779,,,,13852.849191766578,,,1.7185915084770322,64352,RUS,,,16700,109
Orenburg Oblast,Russia,2022-03-11 21:31:03,52.02692620000001,54.7276647,200126,3780,,,,10119.025949072671,,,1.8888100496687088,64353,RUS,,,61081,154
Penza Oblast,Russia,2022-03-11 21:31:03,53.1655415,44.78791810000001,168782,5399,,,,12674.604157983862,,,3.198800819992653,64354,RUS,,,46093,410
Perm Krai,Russia,2022-03-11 21:31:03,58.5951603,56.3159546,343790,8505,,,,13106.138410641975,,,2.4738939468861805,64355,RUS,,,112680,561
Primorsky Krai,Russia,2022-03-11 21:31:03,45.0819456,134.726645,163130,1846,,,,8527.278876467104,,,1.131612824127996,64356,RUS,,,39150,91
Pskov Oblast,Russia,2022-03-11 21:31:03,57.5358729,28.8586826,103168,1638,,,,16207.469687972276,,,1.5877016129032258,64357,RUS,,,23293,145
Rostov Oblast,Russia,2022-03-11 21:31:03,47.6222451,40.7957942,344313,10497,,,,8158.202012485865,,,3.0486795444842336,64358,RUS,,,93725,354
Ryazan Oblast,Russia,2022-03-11 21:31:03,54.42267320000001,40.57052460000001,109226,3143,,,,9739.503546225771,,,2.877520004394558,64359,RUS,,,29250,207
Saint Petersburg,Russia,2022-03-11 21:31:03,59.9606739,30.158655100000004,1472833,32547,,,,27519.635421581166,,,2.209822838027122,64360,RUS,,,260584,1991
Sakha (Yakutiya) Republic,Russia,2022-03-11 21:31:03,66.941626,129.642371,165479,2050,,,,17159.997096429644,,,1.2388278875265142,64361,RUS,,,32136,138
Sakhalin Oblast,Russia,2022-03-11 21:31:03,49.7219665,143.448533,62512,784,,,,12752.840277366931,,,1.2541592014333247,64362,RUS,,,12641,95
Samara Oblast,Russia,2022-03-11 21:31:03,53.2128813,50.8914633,359549,7268,,,,11258.726280830459,,,2.0214212805486875,64363,RUS,,,100709,427
Saratov Oblast,Russia,2022-03-11 21:31:03,51.6520555,46.86319520000001,224462,5728,,,,9113.54270285633,,,2.551879605456603,64364,RUS,,,63540,284
Smolensk Oblast,Russia,2022-03-11 21:31:03,55.03434960000001,33.0192065,123744,2836,,,,13034.6300829622,,,2.291828290664598,64365,RUS,,,24374,180
Stavropol Krai,Russia,2022-03-11 21:31:03,44.86325770000001,43.4406913,188494,6886,,,,6730.308490027757,,,3.653166679045487,64366,RUS,,,29406,292
Sverdlovsk Oblast,Russia,2022-03-11 21:31:03,58.6414755,61.8021546,395616,10401,,,,9146.649354396595,,,2.629064547439942,64367,RUS,,,124836,286
Tambov Oblast,Russia,2022-03-11 21:31:03,52.9019574,41.3578918,105723,2267,,,,10229.093456352462,,,2.144282701020592,64368,RUS,,,27879,257
Tatarstan Republic,Russia,2022-03-11 21:31:03,55.7648572,52.43104273,129356,1777,,,,3321.688916370763,,,1.3737283156560192,64369,RUS,,,68229,132
Tomsk Oblast,Russia,2022-03-11 21:31:03,58.6124279,82.04753149999998,114521,762,,,,10620.710761583265,,,0.6653801486190306,64370,RUS,,,37209,42
Tula Oblast,Russia,2022-03-11 21:31:03,53.9570701,37.3690909,143804,4932,,,,9639.27459438082,,,3.4296681594392364,64371,RUS,,,34731,220
Tver Oblast,Russia,2022-03-11 21:31:03,57.1134475,35.174442799999994,152212,2623,,,,11855.689776169449,,,1.7232544083252306,64372,RUS,,,29033,143
Tyumen Oblast,Russia,2022-03-11 21:31:03,58.8206488,70.36588370000001,176494,4041,,,,4779.926335174954,,,2.2895962468979114,64373,RUS,,,49836,237
Tyva Republic,Russia,2022-03-11 21:31:03,51.4017149,93.8582593,44225,342,,,,13746.340007832849,,,0.7733182589033352,64374,RUS,,,4172,6
Udmurt Republic,Russia,2022-03-11 21:31:03,57.1961165,52.69598320000001,157642,3693,,,,10418.864223380153,,,2.3426498014488524,64375,RUS,,,52533,310
Ulyanovsk Oblast,Russia,2022-03-11 21:31:03,54.1463177,47.2324921,183492,4449,,,,14719.184224838724,,,2.424628866653587,64376,RUS,,,43101,315
Vladimir Oblast,Russia,2022-03-11 21:31:03,56.0503336,40.6561633,142155,3273,,,,10313.515490043435,,,2.3024163764904504,64377,RUS,,,37582,123
Volgograd Oblast,Russia,2022-03-11 21:31:03,49.6048339,44.29035820000001,196904,6524,,,,7809.69636009703,,,3.313289724942104,64378,RUS,,,39986,411
Vologda Oblast,Russia,2022-03-11 21:31:03,60.0391461,43.1215213,175559,3488,,,,14919.745149313032,,,1.986796461588412,64379,RUS,,,51873,233
Voronezh Oblast,Russia,2022-03-11 21:31:03,50.9800393,40.15065070000001,350254,7873,,,,15008.089921534616,,,2.247797312807277,64380,RUS,,,99124,464
Yamalo-Nenets Autonomous Okrug,Russia,2022-03-11 21:31:03,67.1471631,74.3415488,131734,1019,,,,24461.00340360265,,,0.7735284740461841,64381,RUS,,,38348,22
Yaroslavl Oblast,Russia,2022-03-11 21:31:03,57.77819760000001,39.0021095,146515,2567,,,,11575.95418761713,,,1.752039040371293,64382,RUS,,,42133,382
Zabaykalsky Krai,Russia,2022-03-11 21:31:03,52.248521,115.956325,156666,2215,,,,14603.38588710354,,,1.413835803556611,64383,RUS,,,44225,136
Andalusia,Spain,2022-03-11 21:31:03,37.5443,-4.7278,1365646,12975,,,,16204.822243620663,,,0.9500998062455424,72401,ESP,,,73806,629
Aragon,Spain,2022-03-11 21:31:03,41.5976,-0.9057,401290,4917,,,,30387.267470653183,,,1.2252984126193027,72402,ESP,,,16448,283
Asturias,Spain,2022-03-11 21:31:03,43.3614,-5.8593,197400,2519,,,,19311.19491687088,,,1.2760891590678825,72403,ESP,,,11895,154
Baleares,Spain,2022-03-11 21:31:03,39.710358,2.995148,258580,1228,,,,21761.9632727946,,,0.4749013844844922,72404,ESP,,,14064,56
C. Valenciana,Spain,2022-03-11 21:31:03,39.484,-0.7533,1315688,9079,,,,26446.15473985868,,,0.6900572172125914,72411,ESP,,,87301,307
Canarias,Spain,2022-03-11 21:31:03,28.2916,-16.6291,307565,1606,,,,13936.51097172007,,,0.5221660462016159,72405,ESP,,,37154,100
Cantabria,Spain,2022-03-11 21:31:03,43.1828,-3.9878,127435,779,,,,21909.562771537767,,,0.6112920312316082,72406,ESP,,,6818,56
Castilla - La Mancha,Spain,2022-03-11 21:31:03,39.2796,-3.0977,477210,7113,,,,23451.540314230297,,,1.4905387565222858,72407,ESP,,,23628,162
Castilla y Leon,Spain,2022-03-11 21:31:03,41.8357,-4.3976,661952,8316,,,,27492.74940369218,,,1.256284443585033,72408,ESP,,,32110,244
Catalonia,Spain,2022-03-11 21:31:03,41.5912,1.5209,2311638,18528,,,,30551.23346793224,,,0.8015095789219593,72409,ESP,,,126135,1887
Ceuta,Spain,2022-03-11 21:31:03,35.8894,-5.3213,19061,145,,,,22469.910054344626,,,0.7607155972929017,72410,ESP,,,715,2
Extremadura,Spain,2022-03-11 21:31:03,39.4937,-6.0679,241992,2249,,,,22713.210890687653,,,0.9293695659360641,72412,ESP,,,16738,66
Galicia,Spain,2022-03-11 21:31:03,42.5751,-8.1339,547545,3136,,,,20276.132676107347,,,0.5727383137459021,72413,ESP,,,53827,126
La Rioja,Spain,2022-03-11 21:31:03,42.2871,-2.5396,90461,909,,,,28848.649907038598,,,1.0048529200428915,72419,ESP,,,4072,14
Madrid,Spain,2022-03-11 21:31:03,40.4168,-3.7038,1614771,17567,,,,24312.802438069222,,,1.0878941967622653,72414,ESP,,,82335,762
Melilla,Spain,2022-03-11 21:31:03,35.2923,-2.9381,20384,152,,,,24069.24157800895,,,0.7456828885400314,72415,ESP,,,514,11
Murcia,Spain,2022-03-11 21:31:03,37.9922,-1.1307,380866,2179,,,,25601.631552307208,,,0.5721172275813541,72416,ESP,,,28303,104
Navarra,Spain,2022-03-11 21:31:03,42.6954,-1.6761,225674,1505,,,,34721.96151680293,,,0.6668911793117506,72417,ESP,,,8242,56
Pais Vasco,Spain,2022-03-11 21:31:03,42.9896,-2.6189,658816,6233,,,,30250.3351883483,,,0.946091169613367,72418,ESP,,,24824,452
Unknown,Spain,2022-03-11 21:31:03,,,0,0,,,,,,,,72420,ESP,,,0,0
Blekinge,Sweden,2022-03-11 21:31:03,56.2784,15.018,29175,155,,,,18279.3879929326,,,0.5312767780634104,75201,SWE,,,1168,10
Dalarna,Sweden,2022-03-11 21:31:03,61.0917,14.6664,68020,435,,,,23620.844127431716,,,0.6395177888856218,75202,SWE,,,3067,38
Gavleborg,Sweden,2022-03-11 21:31:03,61.3012,16.1534,72707,648,,,,25299.775212087046,,,0.8912484355013961,75203,SWE,,,2755,48
Gotland,Sweden,2022-03-11 21:31:03,57.4684,18.4867,11287,60,,,,18910.63230908421,,,0.5315850093027377,75204,SWE,,,412,3
Halland,Sweden,2022-03-11 21:31:03,56.8967,12.8034,103200,414,,,,30912.271452876757,,,0.4011627906976744,75205,SWE,,,3020,43
Jamtland Harjedalen,Sweden,2022-03-11 21:31:03,63.1712,14.9592,32255,165,,,,24657.90077211222,,,0.5115485971167261,75206,SWE,,,1239,20
Jonkoping,Sweden,2022-03-11 21:31:03,57.3708,14.3439,85321,646,,,,23465.686099246694,,,0.7571406804889769,75207,SWE,,,2022,42
Kalmar,Sweden,2022-03-11 21:31:03,57.235,16.1849,59073,311,,,,24067.615687360965,,,0.5264672523826452,75208,SWE,,,3030,38
Kronoberg,Sweden,2022-03-11 21:31:03,56.7183,14.4115,48461,370,,,,24053.824657887813,,,0.7635005468314727,75209,SWE,,,1723,22
Norrbotten,Sweden,2022-03-11 21:31:03,66.8309,20.3992,47764,355,,,,19098.49535972618,,,0.7432375847918935,75210,SWE,,,2147,43
Orebro,Sweden,2022-03-11 21:31:03,59.535,15.0066,90651,430,,,,29740.65386066501,,,0.4743466701966884,75211,SWE,,,4743,37
Ostergotland,Sweden,2022-03-11 21:31:03,58.3454,15.5198,93433,771,,,,20071.75157627901,,,0.8251902432759304,75212,SWE,,,3207,74
Skane,Sweden,2022-03-11 21:31:03,55.9903,13.5958,334646,2227,,,,24287.954873870236,,,0.6654793423498264,75213,SWE,,,7117,205
Sormland,Sweden,2022-03-11 21:31:03,59.0336,16.7519,62205,557,,,,20906.432748538013,,,0.895426412667792,75214,SWE,,,2602,37
Stockholm,Sweden,2022-03-11 21:31:03,59.6025,18.1384,564929,5112,,,,23765.66048864132,,,0.9048924732134479,75215,SWE,,,10926,251
Uppsala,Sweden,2022-03-11 21:31:03,60.0092,17.2715,87955,640,,,,22922.07978358825,,,0.7276448183730316,75216,SWE,,,2445,43
Varmland,Sweden,2022-03-11 21:31:03,59.7294,13.2354,63573,293,,,,22510.569589326307,,,0.4608874836801787,75217,SWE,,,3911,42
Vasterbotten,Sweden,2022-03-11 21:31:03,65.3337,16.5162,55172,278,,,,20303.529896664408,,,0.5038787790908432,75218,SWE,,,4504,53
Vasternorrland,Sweden,2022-03-11 21:31:03,63.4276,17.7292,52241,555,,,,21292.699727324973,,,1.0623839513026168,75219,SWE,,,2081,63
Vastmanland,Sweden,2022-03-11 21:31:03,59.6714,16.2159,74557,449,,,,27028.5848936903,,,0.6022238019233607,75220,SWE,,,2955,46
Vastra Gotaland,Sweden,2022-03-11 21:31:03,58.2528,13.0596,429952,2927,,,,24912.030435470348,,,0.6807736677582614,75221,SWE,,,10420,196
Alabama,US,2022-03-11 21:31:03,32.3182,-86.9023,1288999,18832,,,1,26289.014181598286,7325372,,1.460978635359686,84000001,USA,149400.2775746785,,31709,1264
Alaska,US,2022-03-11 21:31:03,61.3707,-152.4044,243397,1201,,,2,33271.63742490209,3741734,,0.4934325402531666,84000002,USA,511483.7774846387,,12507,87
American Samoa,US,2022-03-11 21:31:03,-14.271,-170.132,443,39,,,60,796.1754821085171,2140,,8.803611738148986,16,ASM,3846.084721698028,,347,0
Arizona,US,2022-03-11 21:31:03,33.7298,-111.4312,1987318,28090,,,4,27303.13597849731,18462184,,1.413462767408135,84000004,USA,253646.1302177293,,55676,1234
Arkansas,US,2022-03-11 21:31:03,34.9697,-92.3731,825653,10864,,,5,27359.397760755834,4997751,,1.3158070036686114,84000005,USA,165608.8665798044,,22790,899
California,US,2022-03-11 21:31:03,36.1162,-119.6816,9034012,87165,,,6,22863.84139915388,150046091,,0.9648537106215932,84000006,USA,379746.01175944967,,247126,4955
Colorado,US,2022-03-11 21:31:03,39.0598,-105.3111,1323874,11840,,,8,22988.968412512742,16802234,,0.8943449301066416,84000008,USA,291769.4785800217,,37887,257
Connecticut,US,2022-03-11 21:31:03,41.5978,-72.7554,729697,10648,,,9,20466.71137554985,13432084,,1.4592358197991768,84000009,USA,376746.21986953646,,17659,396
Delaware,US,2022-03-11 21:31:03,39.3185,-75.5071,258024,2753,,,10,26497.590792019422,3154371,,1.066955011936874,84000010,USA,323935.8817947675,,5281,152
Diamond Princess,US,2022-03-11 21:31:03,,,49,0,,,88888,,,,0.0,84088888,USA,,,0,0
District of Columbia,US,2022-03-11 21:31:03,38.8974,-77.0268,134623,1319,,,11,19075.19528897668,3067883,,0.9797731442621246,84000011,USA,434698.8801967839,,1995,14
Florida,US,2022-03-11 21:31:03,27.7663,-81.6868,5858052,71474,,,12,27274.996430024257,54764175,,1.2200984217961874,84000012,USA,254981.12301123718,,134986,4152
Georgia,US,2022-03-11 21:31:03,33.0406,-83.6431,2476516,36193,,,13,23325.01963988813,16921121,,1.4614482603786934,84000013,USA,159371.26174590574,,45650,2170
Grand Princess,US,2022-03-11 21:31:03,,,103,3,,,99999,,,,2.9126213592233015,84099999,USA,,,0,0
Guam,US,2022-03-11 21:31:03,13.4443,144.7937,46243,337,,,66,28157.6335482771,368495,,0.7287589473001319,316,GUM,224378.763799329,,7328,30
Hawaii,US,2022-03-11 21:31:03,21.0943,-157.4983,237672,1354,,,15,16786.26316503187,3656412,,0.5696926857181326,84000015,USA,258244.5305790354,,8141,115
Idaho,US,2022-03-11 21:31:03,44.2405,-114.4788,437061,4814,,,16,24456.91678814145,1198024,,1.1014480816178978,84000016,USA,67038.63597574795,,36762,276
Illinois,US,2022-03-11 21:31:03,40.3495,-88.9861,3045718,35508,,,17,24035.361610616183,55602003,,1.1658334750623662,84000017,USA,438784.63087507314,,56391,1257
Indiana,US,2022-03-11 21:31:03,39.8494,-86.2583,1686671,23164,,,18,25053.715572829704,19132634,,1.373356155409087,84000018,USA,284195.0625789209,,24816,1098
Iowa,US,2022-03-11 21:31:03,42.0115,-93.2105,756359,9262,,,19,23972.81201367957,1930630,,1.2245507754915324,84000019,USA,61191.35233132704,,19656,433
