Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-03-06 04:31:09,32.3182,-86.9023,1282945,18480,,,1.0,26165.543417186993,7283482.0,,1.4404358721535218,84000001.0,USA,148545.93493820852,
Alaska,US,2022-03-06 04:31:09,61.3707,-152.4044,240789,1191,,,2.0,32915.131673376214,3741734.0,,0.494623923850342,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-03-06 04:31:09,-14.270999999999999,-170.132,196,0,,,60.0,352.25822684710914,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-03-06 04:31:09,33.7298,-111.4312,1980769,27708,,,4.0,27213.161330492723,18322195.0,,1.3988506484097842,84000004.0,USA,251722.8654445557,
Arkansas,US,2022-03-06 04:31:09,34.9697,-92.3731,822900,10699,,,5.0,27268.17248568827,4977425.0,,1.3001579778830963,84000005.0,USA,164935.33045883695,
California,US,2022-03-06 04:31:09,36.1162,-119.6816,9005610,86286,,,6.0,22786.748799226003,148551611.0,,0.958355208961442,84000006.0,USA,375963.688502163,
Colorado,US,2022-03-06 04:31:09,39.0598,-105.3111,1317447,11810,,,8.0,22877.364060446598,16714729.0,,0.8964307482578047,84000008.0,USA,290249.9611025753,
Connecticut,US,2022-03-06 04:31:09,41.5978,-72.7554,724833,10543,,,9.0,20330.284770903436,13264309.0,,1.4545419427647472,84000009.0,USA,372040.4276009196,
Delaware,US,2022-03-06 04:31:09,39.3185,-75.5071,257181,2751,,,10.0,26411.01950780682,3139425.0,,1.0696746649247029,84000010.0,USA,322401.0129764501,
Diamond Princess,US,2022-03-06 04:31:09,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-03-06 04:31:09,38.8974,-77.0268,134623,1319,,,11.0,19075.195288976676,3067883.0,,0.9797731442621246,84000011.0,USA,434698.8801967839,
Florida,US,2022-03-06 04:31:09,27.7663,-81.6868,5858052,70997,,,12.0,27274.99643002426,54425080.0,,1.2119557832535457,84000012.0,USA,253402.30211404487,
Georgia,US,2022-03-06 04:31:09,33.0406,-83.6431,2470384,35782,,,13.0,23267.265512544804,16804536.0,,1.448438785225293,84000013.0,USA,158273.20810332225,
Grand Princess,US,2022-03-06 04:31:09,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-03-06 04:31:09,13.4443,144.7937,45489,331,,,66.0,27698.51853204976,364851.0,,0.7276484424805997,316.0,GUM,222159.9108561825,
Hawaii,US,2022-03-06 04:31:09,21.0943,-157.4983,237167,1353,,,15.0,16750.596099082402,3635052.0,,0.5704840892704297,84000015.0,USA,256735.91963115308,
