Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-03-10 04:31:17,32.3182,-86.9023,1287822,18694,,,1.0,26265.009376558297,7316167.0,,1.4515981245855405,84000001.0,USA,149212.54245964612,
Alaska,US,2022-03-10 04:31:17,61.3707,-152.4044,242742,1201,,,2.0,33182.100896048774,3741734.0,,0.49476398810259453,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-03-10 04:31:17,-14.270999999999999,-170.132,352,0,,,60.0,632.6270196437879,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-03-10 04:31:17,33.7298,-111.4312,1980769,28090,,,4.0,27213.161330492723,18322195.0,,1.4181360875498354,84000004.0,USA,251722.8654445557,
Arkansas,US,2022-03-10 04:31:17,34.9697,-92.3731,824469,10799,,,5.0,27320.16393377436,4988882.0,,1.3098127400787658,84000005.0,USA,165314.97738090347,
California,US,2022-03-10 04:31:17,36.1162,-119.6816,9023993,86908,,,6.0,22838.484688649383,149610868.0,,0.9630769882024509,84000006.0,USA,378644.5222279698,
Colorado,US,2022-03-10 04:31:17,39.0598,-105.3111,1322637,11835,,,8.0,22967.488004312057,16767601.0,,0.8948033360627292,84000008.0,USA,291168.07924516767,
Connecticut,US,2022-03-10 04:31:17,41.5978,-72.7554,729063,10609,,,9.0,20448.928795914606,13405060.0,,1.4551554529581119,84000009.0,USA,375988.2444246424,
Delaware,US,2022-03-10 04:31:17,39.3185,-75.5071,257438,2752,,,10.0,26437.41193964862,3151086.0,,1.0689952532260194,84000010.0,USA,323598.53106091416,
Diamond Princess,US,2022-03-10 04:31:17,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-03-10 04:31:17,38.8974,-77.0268,134623,1319,,,11.0,19075.195288976676,3067883.0,,0.9797731442621246,84000011.0,USA,434698.8801967839,
Florida,US,2022-03-10 04:31:17,27.7663,-81.6868,5858052,71397,,,12.0,27274.99643002426,54679911.0,,1.2187839916750483,84000012.0,USA,254588.79117478718,
