Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-02-24 04:31:31,32.3182,-86.9023,1275355,18007,,,1.0,26010.746076274907,7217697.0,,1.4119206024989122,84000001.0,USA,147204.25600910428,
Alaska,US,2022-02-24 04:31:31,61.3707,-152.4044,237754,1163,,,2.0,32500.2563068574,3741734.0,,0.4891610656392742,84000002.0,USA,511483.7774846387,
American Samoa,US,2022-02-24 04:31:31,-14.270999999999999,-170.132,18,0,,,60.0,32.35024532269369,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-02-24 04:31:31,33.7298,-111.4312,1971678,27790,,,4.0,27088.262945241582,18181189.0,,1.4094593539107299,84000004.0,USA,249785.62842874645,
Arkansas,US,2022-02-24 04:31:31,34.9697,-92.3731,817227,10341,,,5.0,27080.18811029477,4939286.0,,1.2653766946026013,84000005.0,USA,163671.53068920315,
California,US,2022-02-24 04:31:31,36.1162,-119.6816,8939967,84468,,,6.0,22605.579544334927,145812039.0,,0.9456819533704054,84000006.0,USA,369030.20870276017,
Colorado,US,2022-02-24 04:31:31,39.0598,-105.3111,1308351,11729,,,8.0,22719.412732238463,16518263.0,,0.8964719712065035,84000008.0,USA,286838.3443866849,
Connecticut,US,2022-02-24 04:31:31,41.5978,-72.7554,721496,10438,,,9.0,20236.68781783907,13141503.0,,1.4467162673112532,84000009.0,USA,368595.9363159263,
Delaware,US,2022-02-24 04:31:31,39.3185,-75.5071,255385,2703,,,10.0,26226.580567776167,3107306.0,,1.0584020204788849,84000010.0,USA,319102.5751619489,
Diamond Princess,US,2022-02-24 04:31:31,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-02-24 04:31:31,38.8974,-77.0268,134114,1317,,,11.0,19003.073330603373,3040995.0,,0.9820003877298418,84000011.0,USA,430889.0271187065,
Florida,US,2022-02-24 04:31:31,27.7663,-81.6868,5818706,68955,,,12.0,27091.802083245548,53856449.0,,1.1850572962442163,84000012.0,USA,250754.76527159265,
Georgia,US,2022-02-24 04:31:31,33.0406,-83.6431,2458946,35095,,,13.0,23159.536923413525,16561265.0,,1.4272375237195123,84000013.0,USA,155981.9647385246,
Grand Princess,US,2022-02-24 04:31:31,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-02-24 04:31:31,13.4443,144.7937,43560,320,,,66.0,26523.939133770527,356833.0,,0.7346189164370982,316.0,GUM,217277.70369423184,
Hawaii,US,2022-02-24 04:31:31,21.0943,-157.4983,234835,1304,,,15.0,16585.89194503458,3575054.0,,0.5552834969233718,84000015.0,USA,252498.38968494328,
Idaho,US,2022-02-24 04:31:31,44.2405,-114.4788,419178,4715,,,16.0,23456.22571087229,1188194.0,,1.1248204819909442,84000016.0,USA,66488.57204410584,
Illinois,US,2022-02-24 04:31:31,40.3495,-88.9861,3022684,34950,,,17.0,23853.588209618807,53968881.0,,1.1562571542377569,84000017.0,USA,425896.8067809671,
Indiana,US,2022-02-24 04:31:31,39.8494,-86.2583,1678628,22693,,,18.0,24934.24530604248,18848515.0,,1.3518778430956708,84000018.0,USA,279974.7750333137,
Iowa,US,2022-02-24 04:31:31,42.0115,-93.2105,747702,9085,,,19.0,23698.428244064315,1932853.0,,1.2150562657315347,84000019.0,USA,61261.81035603014,
Kansas,US,2022-02-24 04:31:31,38.5266,-96.7265,764957,7928,,,20.0,26257.27951055053,2241301.0,,1.0363981243390152,84000020.0,USA,76933.03914373803,
Kentucky,US,2022-02-24 04:31:31,37.6681,-84.6701,1270258,13689,,,21.0,28432.206206676274,9478354.0,,1.0776550905406619,84000021.0,USA,212154.15720890946,
Louisiana,US,2022-02-24 04:31:31,31.1695,-91.8678,1161126,16557,,,22.0,24976.929500425267,12538919.0,,1.425943437663096,84000022.0,USA,269724.12630028353,
Maine,US,2022-02-24 04:31:31,44.6939,-69.3819,222925,1971,,,23.0,16584.065608698627,3782575.0,,0.8841538634069754,84000023.0,USA,281397.20520275075,
Maryland,US,2022-02-24 04:31:31,39.0639,-76.8021,999229,14062,,,24.0,16527.983618054546,18684815.0,,1.4072850167479127,84000024.0,USA,309060.60195048363,
Massachusetts,US,2022-02-24 04:31:31,42.2302,-71.5301,1666622,23293,,,25.0,24180.214357541805,40431919.0,,1.3976174561478247,84000025.0,USA,586607.2020570757,
Michigan,US,2022-02-24 04:31:31,43.3266,-84.5361,2350468,34370,,,26.0,23535.61285597661,22560614.0,,1.4622619835709314,84000026.0,USA,225903.0443712171,
Minnesota,US,2022-02-24 04:31:31,45.6945,-93.9002,1410583,12189,,,27.0,25011.968866053667,15735490.0,,0.8641107967414892,84000027.0,USA,279016.25496131665,
Mississippi,US,2022-02-24 04:31:31,32.7416,-89.6787,787938,11954,,,28.0,26475.085756795102,3483859.0,,1.5171244438014158,84000028.0,USA,117059.29373831752,
Missouri,US,2022-02-24 04:31:31,38.4561,-92.2884,1397882,18650,,,29.0,22776.348659405863,9560760.0,,1.3341612525234603,84000029.0,USA,155777.95780251926,
Montana,US,2022-02-24 04:31:31,46.9219,-110.4544,264277,3156,,,30.0,24727.02469549336,2680370.0,,1.1942015385372169,84000030.0,USA,250788.28344146305,
Nebraska,US,2022-02-24 04:31:31,41.1254,-98.2681,453490,3944,,,31.0,23443.348042398506,5164907.0,,0.8696994421045668,84000031.0,USA,267001.945814947,
Nevada,US,2022-02-24 04:31:31,38.3135,-117.0554,678684,9574,,,32.0,22034.078793411758,5733806.0,,1.4106712402237271,84000032.0,USA,186153.10393369687,
New Hampshire,US,2022-02-24 04:31:31,43.4525,-71.5639,295701,2368,,,33.0,21747.341898388702,3519793.0,,0.8008089252319065,84000033.0,USA,258863.31727845108,
New Jersey,US,2022-02-24 04:31:31,40.2989,-74.521,2161190,32800,,,34.0,24331.724495873197,17609805.0,,1.5176823879436792,84000034.0,USA,198259.7197312825,
New Mexico,US,2022-02-24 04:31:31,34.8405,-106.2485,509710,6851,,,35.0,24308.610764158642,6531771.0,,1.3440976241392164,84000035.0,USA,311507.0899916016,
New York,US,2022-02-24 04:31:31,42.1657,-74.9481,4915054,67161,,,36.0,25265.574770603696,100171719.0,,1.366434631237012,84000036.0,USA,514927.4161167717,
North Carolina,US,2022-02-24 04:31:31,35.6301,-79.8064,2574867,22390,,,37.0,24550.40405854873,22072908.0,,0.869559476275862,84000037.0,USA,210457.0100697134,
North Dakota,US,2022-02-24 04:31:31,47.5289,-99.78399999999999,237321,2227,,,38.0,31141.954329175318,2238280.0,,0.9383914613540312,84000038.0,USA,293713.6348486081,
Northern Mariana Islands,US,2022-02-24 04:31:31,15.0979,145.6739,9108,27,,,69.0,16516.756129406644,17542.0,,0.2964426877470356,580.0,MNP,31811.25779776585,
Ohio,US,2022-02-24 04:31:31,40.3888,-82.7649,2648371,36821,,,39.0,22656.75714982334,21505868.0,,1.3694078359867254,84000039.0,USA,183982.23986448915,
Oklahoma,US,2022-02-24 04:31:31,35.5653,-96.9289,1016945,14488,,,40.0,25700.087263717618,5451538.0,,1.4246591506915318,84000040.0,USA,137770.48151224758,
Oregon,US,2022-02-24 04:31:31,44.571999999999996,-122.0709,690481,6519,,,41.0,16370.887990408124,10357244.0,,0.9441244581675672,84000041.0,USA,245564.0074286282,
Pennsylvania,US,2022-02-24 04:31:31,40.5908,-77.2098,2749767,43002,,,42.0,21479.217018542982,24122862.0,,1.5638415909420689,84000042.0,USA,188430.57902955552,
Puerto Rico,US,2022-02-24 04:31:31,18.2208,-66.5901,472534,4088,,,72.0,14875.877275656341,3816433.0,,0.8604685428024164,630.0,PRI,119499.0190043254,
Rhode Island,US,2022-02-24 04:31:31,41.6809,-71.5118,355014,3404,,,44.0,33512.088891322215,7424480.0,,0.9588354262085441,84000044.0,USA,700845.1321126603,
South Carolina,US,2022-02-24 04:31:31,33.8569,-80.945,1456990,16614,,,45.0,28298.134252553165,12552726.0,,1.1402960898839387,84000045.0,USA,243803.1321996133,
South Dakota,US,2022-02-24 04:31:31,44.2998,-99.4388,235541,2784,,,46.0,26625.061181766083,1272342.0,,1.1819598286497892,84000046.0,USA,143822.87412438012,
Tennessee,US,2022-02-24 04:31:31,35.7478,-86.6923,1997326,24011,,,47.0,29246.963102711983,12353302.0,,1.2021572842890946,84000047.0,USA,180890.1340044931,
Texas,US,2022-02-24 04:31:31,31.0545,-97.5635,6594204,84211,,,48.0,22741.864611735717,45659258.0,,1.2770457207571984,84000048.0,USA,157468.08313911894,
Utah,US,2022-02-24 04:31:31,40.15,-111.8624,920904,4392,,,49.0,28724.768072445124,5787292.0,,0.4769226759792552,84000049.0,USA,180516.77532893445,
Vermont,US,2022-02-24 04:31:31,44.0459,-72.7107,111584,593,,,50.0,17882.36651607641,3340453.0,,0.5314381990249498,84000050.0,USA,535338.4434661509,
Virgin Islands,US,2022-02-24 04:31:31,18.3358,-64.8963,15327,109,,,78.0,14288.511019129655,325133.0,,0.7111633065831541,850.0,VIR,303103.44184658985,
Virginia,US,2022-02-24 04:31:31,37.7693,-78.17,1632675,18338,,,51.0,19128.010845034732,12709771.0,,1.1231874071692158,84000051.0,USA,148904.48958053987,
Washington,US,2022-02-24 04:31:31,47.4009,-121.4905,1414429,11708,,,53.0,18574.50918876996,9958651.0,,0.8277545214358586,84000053.0,USA,130778.60713210286,
West Virginia,US,2022-02-24 04:31:31,38.4912,-80.9545,486206,6250,,,54.0,27129.805758121405,5754629.0,,1.285463363265776,84000054.0,USA,321102.51000615465,
Wisconsin,US,2022-02-24 04:31:31,44.2685,-89.6165,1568802,13156,,,55.0,26944.092453430992,,,0.8386016845975464,84000055.0,USA,,
Wyoming,US,2022-02-24 04:31:31,42.756,-107.3025,154662,1718,,,56.0,26723.040160066626,1352158.0,,1.11080937786916,84000056.0,USA,233630.57853096022,
