Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2022-03-17 04:31:37,32.3182,-86.9023,1290165,18944,,,1.0,26312.794642665944,7355922.0,,1.4683393209395696,84000001.0,USA,150023.34197057626,
Alaska,US,2022-03-17 04:31:37,61.3707,-152.4044,244386,1202,,,2.0,33406.83074862107,4062130.0,,0.4918448683639816,84000002.0,USA,555280.946489963,
American Samoa,US,2022-03-17 04:31:37,-14.270999999999999,-170.132,779,0,,,60.0,1400.0467281321328,2140.0,,0.0,16.0,ASM,3846.084721698028,
Arizona,US,2022-03-17 04:31:37,33.7298,-111.4312,1987318,28547,,,4.0,27303.13597849731,18462184.0,,1.4364585838803856,84000004.0,USA,253646.1302177293,
Arkansas,US,2022-03-17 04:31:37,34.9697,-92.3731,827709,10999,,,5.0,27427.526771122313,5012039.0,,1.3288486654126028,84000005.0,USA,166082.3234378376,
California,US,2022-03-17 04:31:37,36.1162,-119.6816,9050936,87750,,,6.0,22906.67371461231,151371361.0,,0.9695129873860558,84000006.0,USA,383100.0877880245,
Colorado,US,2022-03-17 04:31:37,39.0598,-105.3111,1329345,11873,,,8.0,23083.97189938904,16867228.0,,0.8931466248415573,84000008.0,USA,292898.09430402785,
Connecticut,US,2022-03-17 04:31:37,41.5978,-72.7554,731128,10677,,,9.0,20506.84839677704,13479924.0,,1.460346204768522,84000009.0,USA,378088.0473297101,
Delaware,US,2022-03-17 04:31:37,39.3185,-75.5071,258347,2812,,,10.0,26530.761046824486,3168687.0,,1.0884585460640146,84000010.0,USA,325406.05321207194,
Diamond Princess,US,2022-03-17 04:31:37,,,49,0,,,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2022-03-17 04:31:37,38.8974,-77.0268,134623,1319,,,11.0,19075.195288976684,,,0.9797731442621246,84000011.0,USA,,
Florida,US,2022-03-17 04:31:37,27.7663,-81.6868,5868263,72246,,,12.0,27322.538682729937,55058834.0,,1.2311309155707575,84000012.0,USA,256353.05060305004,
Georgia,US,2022-03-17 04:31:37,33.0406,-83.6431,2480368,36367,,,13.0,23361.299629863104,17019067.0,,1.4661937260922573,84000013.0,USA,160293.76431550292,
Grand Princess,US,2022-03-17 04:31:37,,,103,3,,,99999.0,,,,2.912621359223301,84099999.0,USA,,
Guam,US,2022-03-17 04:31:37,13.4443,144.7937,46593,339,,,66.0,28370.750598250004,369449.0,,0.7275771038568025,316.0,GUM,224959.6599869694,
Hawaii,US,2022-03-17 04:31:37,21.0943,-157.4983,238764,1368,,,15.0,16863.38878090675,3656412.0,,0.5729506960848371,84000015.0,USA,258244.5305790354,
Idaho,US,2022-03-17 04:31:37,44.2405,-114.4788,440783,4831,,,16.0,24665.191249338997,1201459.0,,1.0960041562401457,84000016.0,USA,67230.8505846178,
Illinois,US,2022-03-17 04:31:37,40.3495,-88.9861,3050647,35597,,,17.0,24074.25894036856,56009446.0,,1.1668672252148478,84000017.0,USA,441999.9777458977,
Indiana,US,2022-03-17 04:31:37,39.8494,-86.2583,1687920,23229,,,18.0,25072.26814813957,19200670.0,,1.376190814730556,84000018.0,USA,285205.6654722611,
Iowa,US,2022-03-17 04:31:37,42.0115,-93.2105,757265,9349,,,19.0,24001.52769986086,,,1.23457442242808,84000019.0,USA,,
Kansas,US,2022-03-17 04:31:37,38.5266,-96.7265,769776,8088,,,20.0,26422.692507570417,2259193.0,,1.0506952671946124,84000020.0,USA,77547.18509573633,
Kentucky,US,2022-03-17 04:31:37,37.6681,-84.6701,1288706,14097,,,21.0,28845.128101362843,,,1.0938879775526769,84000021.0,USA,,
Louisiana,US,2022-03-17 04:31:37,31.1695,-91.8678,1166866,16960,,,22.0,25100.402383930108,12894571.0,,1.4534659506747134,84000022.0,USA,277374.54057977186,
